,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
0,2014-07,awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,5976,2014-07-08 05:44:19,null,5990.0
1,2014-07,js-must-watch,https://github.com/bolshchikov/js-must-watch,5359,2014-06-21 09:56:48,null,5375.0
2,2014-07,awesome-python,https://github.com/vinta/awesome-python,5287,,,
3,2014-07,breach_core,https://github.com/breach/breach_core,4636,2013-09-20 16:05:01,JavaScript,4651.0
4,2014-07,ToolsOfTheTrade,https://github.com/cjbarber/ToolsOfTheTrade,4561,2014-05-29 04:11:33,null,4600.0
5,2014-07,hydra,https://github.com/sdegutis/hydra,4098,2014-06-19 12:10:55,C,4111.0
6,2014-07,awesome-go,https://github.com/avelino/awesome-go,3597,2014-07-06 13:42:15,null,3598.0
7,2014-07,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,2504,,,
8,2014-07,FLEX,https://github.com/Flipboard/FLEX,2472,2014-05-29 00:58:29,Objective-C,2479.0
9,2014-07,BOOTSTRA.386,https://github.com/kristopolous/BOOTSTRA.386,2370,2013-04-12 13:17:25,CSS,2956.0
10,2014-06,the-swift-programming-language-in-chinese,https://github.com/numbbbbb/the-swift-programming-language-in-chinese,6490,,,
11,2014-06,FlappySwift,https://github.com/fullstackio/FlappySwift,5980,2014-06-03 05:04:12,Swift,6039.0
12,2014-06,awesome-sysadmin,https://github.com/kahun/awesome-sysadmin,5284,2014-02-09 22:39:20,null,5393.0
13,2014-06,web-starter-kit,https://github.com/google/web-starter-kit,5174,2014-04-07 08:45:18,CSS,5269.0
14,2014-06,meteor,https://github.com/meteor/meteor,4583,2012-01-19 01:58:17,JavaScript,16955.0
15,2014-06,card,https://github.com/jessepollak/card,4478,,,
16,2014-06,cayley,https://github.com/google/cayley,3037,2014-06-05 18:49:41,Go,3045.0
17,2014-06,swift-cheat-sheet,https://github.com/grant/swift-cheat-sheet,2842,,,
18,2014-06,httpie,https://github.com/jakubroztocil/httpie,2541,2012-02-25 12:39:13,Python,9977.0
19,2014-06,bounce.js,https://github.com/tictail/bounce.js,2339,2014-04-10 13:59:41,CSS,2501.0
20,2014-05,atom,https://github.com/atom/atom,5895,2012-01-20 18:18:21,CoffeeScript,5888.0
21,2014-05,quill,https://github.com/quilljs/quill,3593,2012-07-30 23:23:18,CoffeeScript,3605.0
22,2014-05,http-api-design,https://github.com/interagent/http-api-design,2936,2014-05-07 17:00:37,null,2954.0
23,2014-05,pop,https://github.com/facebook/pop,2746,2014-03-30 22:29:12,Objective-C++,7180.0
24,2014-05,resume.github.com,https://github.com/resume/resume.github.com,2685,2011-02-06 13:39:55,JavaScript,11983.0
25,2014-05,tablesaw,https://github.com/filamentgroup/tablesaw,2558,2013-08-26 18:19:32,JavaScript,2577.0
26,2014-05,syncthing,https://github.com/calmh/syncthing,2479,2013-11-26 09:48:21,Go,3069.0
27,2014-05,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,2315,2014-04-12 16:38:42,null,9173.0
28,2014-05,css-loaders,https://github.com/lukehaas/css-loaders,2280,2014-05-06 20:58:53,CSS,2294.0
29,2014-05,atom-shell,https://github.com/atom/atom-shell,2098,2013-04-12 01:47:36,C++,2103.0
30,2014-04,github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,6751,2014-04-12 16:38:42,null,6897.0
31,2014-04,gitbook,https://github.com/GitbookIO/gitbook,5025,2014-03-31 03:01:56,JavaScript,5044.0
32,2014-04,free-programming-books,https://github.com/vhf/free-programming-books,4308,2013-10-11 06:50:37,null,24895.0
33,2014-04,pop,https://github.com/facebook/pop,4238,2014-03-30 22:29:12,Objective-C++,4498.0
34,2014-04,slick,https://github.com/kenwheeler/slick,3858,2014-03-24 02:10:05,JavaScript,5610.0
35,2014-04,huginn,https://github.com/cantino/huginn,3543,2013-03-10 06:00:31,Ruby,7067.0
36,2014-04,famous,https://github.com/Famous/famous,3054,2014-04-09 18:05:24,null,3095.0
37,2014-04,winjs,https://github.com/winjs/winjs,2393,,,
38,2014-04,portia,https://github.com/scrapinghub/portia,2308,2014-03-21 14:24:31,Python,2302.0
39,2014-04,trianglify,https://github.com/qrohlf/trianglify,2259,2014-04-12 04:30:29,JavaScript,2312.0
40,2014-03,popcorn-app,https://github.com/popcorn-time/popcorn-app,10695,,,
41,2014-03,papers-we-love,https://github.com/papers-we-love/papers-we-love,6808,2013-12-15 14:31:41,null,6832.0
42,2014-03,gremlins.js,https://github.com/marmelab/gremlins.js,3892,2013-10-21 08:47:12,JavaScript,4070.0
43,2014-03,2048,https://github.com/gabrielecirulli/2048,3603,2014-03-05 16:03:26,CSS,3648.0
44,2014-03,Shimmer,https://github.com/facebook/Shimmer,2641,2014-02-18 22:15:19,Objective-C,2649.0
45,2014-03,ngxtop,https://github.com/lebinh/ngxtop,2286,2014-03-21 15:39:52,Python,2460.0
46,2014-03,ScrollMagic,https://github.com/janpaepke/ScrollMagic,2255,2013-09-23 08:08:53,JavaScript,2258.0
47,2014-03,code-guide,https://github.com/mdo/code-guide,2092,,,
